UPN,Top_Y,Top_X,Top_Z
13057,0,0,0
13056,0,0,0
13055,0,0,0
46523,0,0,0
13022,0,0,0
13021,0,0,0
13020,0,0,0
13004,0,0,0
12986,0,0,0
12985,0,0,0
12984,0,0,0
39616,0,0,0
39615,0,0,0
45275,0,0,0
27159,0,0,0
27172,0,0,0
27158,0,0,0
27156,0,0,0
27155,0,0,0
27154,0,0,0
27153,0,0,0
27152,0,0,0
47598,0,0,0
27151,0,0,0
27150,0,0,0
27149,0,0,0
27148,0,0,0
27147,365953.8898495,2260934.8126795,899.18045002
27146,365927.227565,2260934.8401,898.86516913
27145,365900.67955,2260934.83565,898.17757662
27144,365874.109262,2260934.76955,897.34822847
45276,365847.5685635,2260934.7583,896.2110856
43660,365797.507663,2260934.697137,892.3838124
12983,365770.953711,2260934.664238,891.32562824
12982,365744.2924325,2260934.6603165,890.56483505
12981,365717.797885,2260934.6854,890.06951652
12980,365691.146153,2260934.660885,889.90784611
12979,0,0,0
12978,0,0,0
12977,0,0,0
12976,0,0,0
46524,0,0,0
12975,0,0,0
12974,0,0,0
12973,0,0,0
12972,0,0,0
12971,0,0,0
41105,0,0,0
30264,0,0,0
27182,0,0,0
41089,365797.5581435,2261246.6813805,898.06420954
30263,0,0,0
27181,0,0,0
41090,365770.98278,2261246.708956,896.97835426
30262,0,0,0
27180,0,0,0
21884,365744.295284,2261246.757331,896.1384614
30289,0,0,0
27179,365953.723477,2260954.294155,899.16871235
21883,365717.832792,2261246.719097,895.5880376
30290,365953.776465,2261461.2119035,903.05766984
27178,365927.264643,2260954.2481955,898.87355056
21882,365691.19539,2261246.739986,895.32510872
30291,365927.155669,2261461.204593,902.82124488
27177,365900.698565,2260954.3024185,898.27295653
21881,0,0,0
27176,365874.068592,2260954.266394,897.43597092
21880,0,0,0
45261,365847.5046,2260954.4865485,896.2838924
30292,365900.553015,2261461.20307,902.8522455
21879,0,0,0
43661,365797.556558,2260954.2499345,892.86430972
30320,365874.04857,2261461.25603,902.8838
21878,0,0,0
12968,365770.965553,2260954.207072,891.72214413
44868,365847.43555,2261461.28437,902.82384846
47197,0,0,0
